NORTHERN CAPE
Frances Baard
Frances Baard
John Taolo Gaetsewe
Namakwa
Namakwa
Pixley Ka Seme
Z F MGCAWU

300014406 2014406 DEGANIA HIGH SCHOOL                                   5                                                                        0               7              7             100,0           0             12            12               100,0
300044208 2044208 H/SCHOOL GAMAGARA                                     1         22              72            50               69,4           0             113           74               65,5          50              129           96               74,4
300100526 2100526 H/SCHOOL IKAKANYENG                                   1           3             19            13               68,4           0             32            18               56,3            0             23            17               73,9
300100573 2100573 H/SCHOOL ITLOTLENG                                    1         24              71            43               60,6           4             60            46               76,7          10              86            54               62,8
300100769 2100769 H/SCHOOL K P TOTO TECH & COMM                         1         66              162           104              64,2           1             201           149              74,1            0             198           143              72,2
300100774 2100774 H/SCHOOL K S SHUPING                                  1         60              111           36               32,4         10              142           69               48,6          52              157           66               42,0
300100646 2100646 H/SCHOOL KEGOMODITSWE                                 1           8             37            16               43,2           0             53            35               66,0            0             70            41               58,6
300100873 2100873 H/SCHOOL LESEDI                                       1         101             149           65               43,6           0             140           66               47,1            0             195           70               35,9
300101402 2101402 H/SCHOOL MOSHAWENG                                    1         27              99            59               59,6           0             91            50               54,9            0             90            66               73,3
300101486 2101486 H/SCHOOL NAMETSEGANG                                  1           4             93            74               79,6         15              137           98               71,5          24              114           110              96,5
300101562 2101562 H/SCHOOL OLEBOGENG                                    1           4             64            32               50,0           0             67            33               49,3            0             83            53               63,9
300101617 2101617 H/SCHOOL PHAKANE                                      3         20              78            55               70,5         10              89            68               76,4            0             125           97               77,6
300101655 2101655 H/SCHOOL PITSO-JANTJIE                                3         35              132           98               74,2           0             176           122              69,3          12              140           117              83,6
300101821 2101821 H/SCHOOL REKGARATLHILE                                3         90              113           36               31,9           3             166           80               48,2            0             217           121              55,8
300101827 2101827 H/SCHOOL REMMOGO                                      3         32              251           136              54,2         76              263           158              60,1            0             286           167              58,4
300101920 2101920 H/SCHOOL SEGOPOTSO                                    3           7             31            20               64,5           0             32            23               71,9            4             48            44               91,7
300045401 2045401 H/skool Kalahari                                      5         23              188           157              83,5           1             179           176              98,3            2             160           150              93,8
300044402 2044402 H/skool Kathu                                         5         19              157           125              79,6         31              145           122              84,1          11              159           139              87,4
300044302 2044302 H/skool Langberg                                      3           4             83            59               71,1           0             66            52               78,8            0             97            53               54,6
300045403 2045403 H/skool Wrenchville                                   3         18              132           104              78,8           0             117           85               72,6            0             113           83               73,5
300045303 2045303 Hotazel Combined School                               3           5             34            32               94,1           0             49            31               63,3            0             50            30               60,0
300045209 2045209 HOTAZEL PRIMARY                                       5           0             21            18               85,7           0             28            26               92,9            0             37            33               89,2
300101056 2101056 MAMASILO INTERMEDIATE SCHOOL                          1                                                                       0             92            29               31,5            0             70            41               58,6
300051301 2051301 SEDIBA ACADEMY                                        5                                                                       0             12            11               91,7            1             15            13               86,7
