NORTH WEST,DR. K. KAUNDA,600101508,9215079,NKANG-MAHLALE SECONDARY SCHOOL,2,40,166,121,72.9,5,229,164,71.6,50,226,149,65.9
NORTH WEST,DR. K. KAUNDA,600101534,9205081,NTLATSENG PUBLIC COMBINED SCHOOL,1,0,15,12,80.0,0,21,15,71.4,0,34,21,61.8
NORTH WEST,DR. K. KAUNDA,600102380,9205083,NW SEC SCHOOL FOR THE DEAF,3,,,,,1,6,1,16.7,6,28,0,0.0
NORTH WEST,DR. K. KAUNDA,600101582,9215086,ORKNEY HIGH SCHOOL,4,9,52,47,90.4,3,83,79,95.2,2,103,72,69.9
NORTH WEST,DR. K. KAUNDA,600104247,9215156,OVERVAAL PRIVAAT SKOOL,99,0,7,7,100.0,0,12,10,83.3,0,13,12,92.3
NORTH WEST,DR. K. KAUNDA,600101620,9215090,PHAKELA COMBINED SCHOOL,1,0,9,9,100.0,7,23,16,69.6,4,25,24,96.0
NORTH WEST,DR. K. KAUNDA,600101639,9225092,PHIRI HIGH SCHOOL,3,4,98,73,74.5,0,110,87,79.1,0,144,121,84.0
NORTH WEST,DR. K. KAUNDA,600104104,9215093,PINNACLE PRIM and SEC BOARDING SCHOOL,99,0,27,27,100.0,0,21,20,95.2,0,8,8,100.0
NORTH WEST,DR. K. KAUNDA,600101661,9225094,POELANO HIGH SCHOOL,3,17,79,37,46.8,6,88,63,71.6,12,113,70,61.9
NORTH WEST,DR. K. KAUNDA,600101672,9225095,POTCHEFSTROOM BOYS HIGH,4,0,42,30,71.4,0,70,63,90.0,1,90,71,78.9
NORTH WEST,DR. K. KAUNDA,600101674,9225098,POTCHEFSTROOM GIMNASIUM,4,0,140,140,100.0,0,138,137,99.3,0,141,137,97.2
NORTH WEST,DR. K. KAUNDA,600101675,9225099,POTCHEFSTROOM GIRLS HIGH,4,0,102,102,100.0,0,101,101,100.0,0,91,91,100.0
NORTH WEST,DR. K. KAUNDA,600101676,9225100,POTCHEFSTROOM SECONDARY,3,1,66,56,84.8,0,87,65,74.7,7,68,49,72.1
NORTH WEST,DR. K. KAUNDA,600105375,9215184,PRESTIGE SECONDARY SCHOOL,2,1,116,75,64.7,0,134,96,71.6,26,102,85,83.3
NORTH WEST,DR. K. KAUNDA,600101683,9225104,PROMOSA SECONDARY SCHOOL,3,50,117,56,47.9,0,142,64,45.1,81,155,62,40.0
NORTH WEST,DR. K. KAUNDA,600101771,9205106,REABONA SECONDARY SCHOOL,3,24,97,87,89.7,0,110,70,63.6,17,74,69,93.2
NORTH WEST,DR. K. KAUNDA,600101804,9225107,REGOROGILE COMBINED SCHOOL,3,0,12,12,100.0,0,4,4,100.0,1,18,16,88.9
NORTH WEST,DR. K. KAUNDA,600101835,9225108,RESOLOFETSE SECONDARY SCHOOL,4,0,96,70,72.9,0,91,64,70.3,17,99,72,72.7
NORTH WEST,DR. K. KAUNDA,600101887,9215110,SCHOONSPRUIT HIGH SCHOOL,4,0,128,118,92.2,1,131,126,96.2,0,143,132,92.3
NORTH WEST,DR. K. KAUNDA,600101928,9225116,SEIPHEMELO SECONDARY SCHOOL,3,51,152,116,76.3,21,141,108,76.6,40,141,117,83.0
NORTH WEST,DR. K. KAUNDA,600102035,9215118,STILFONTEIN HIGH SCHOOL,4,0,61,46,75.4,0,92,72,78.3,0,99,67,67.7
NORTH WEST,DR. K. KAUNDA,600102126,9215125,THUTO THEBE SECONDARY SCHOOL,3,11,61,43,70.5,1,88,52,59.1,4,111,77,69.4
NORTH WEST,DR. K. KAUNDA,600102122,9225126,THUTO-BOSWA SECONDARY SCHOOL,3,0,179,130,72.6,0,233,167,71.7,0,193,146,75.6
NORTH WEST,DR. K. KAUNDA,600102127,9215129,THUTO-TSEBO SECONDARY SCHOOL,2,18,96,86,89.6,8,105,89,84.8,56,102,94,92.2
NORTH WEST,DR. K. KAUNDA,600102140,9205131,TIRAGALO SECONDARY SCHOOL,3,31,100,66,66.0,23,78,52,66.7,8,124,104,83.9
NORTH WEST,DR. K. KAUNDA,600102181,9225133,TLOKWE SECONDARY SCHOOL,3,0,148,121,81.8,0,171,117,68.4,13,120,102,85.0
NORTH WEST,DR. K. KAUNDA,600102202,9215134,TSAMMA SECONDARY SCHOOL,3,17,92,81,88.0,19,137,111,81.0,25,115,100,87.0
NORTH WEST,DR. K. KAUNDA,600102216,9215135,TSHEBEDISANO SECONDARY SCHOOL,3,20,138,123,89.1,0,181,157,86.7,12,196,178,90.8
NORTH WEST,DR. K. KAUNDA,600102217,9215136,TSHEDIMOSETSO SECONDARY SCHOOL,3,0,106,70,66.0,0,127,90,70.9,13,110,95,86.4
NORTH WEST,DR. K. KAUNDA,600102295,9215142,VAAL REEFS TECHNICAL HIGH SCHOOL,3,45,147,74,50.3,2,176,107,60.8,14,149,100,67.1
