province,district_name,emis_number,centre_number,centre_name,quantile,_2021_progressed(%),_2021_total_wrote,_2021_total_archived,_2021_achived,_2022_progressed,_2022_total_wrote,_2022_total_archived,_2022_achived,_2023_progressed,_2023_total_wrote,_2023total_archeive,_2023_achieved(%)
EASTERN CAPE,ALFRED NZO EAST,200501278,4241031,Vukayibambe Senior Secondary School,1,17,78,58,74.4,14,60,48,80.0,11,64,60,93.8
EASTERN CAPE,ALFRED NZO EAST,200501280,4243032,Vukuzenzele Special School,99,1,12,10,83.3,0,6,5,83.3,1,8,8,100.0
EASTERN CAPE,ALFRED NZO EAST,200501282,4241033,Vulindlela Comp Tech,3,21,138,98,71.0,29,128,100,78.1,14,143,120,83.9
EASTERN CAPE,ALFRED NZO EAST,200501293,4241034,Winnie Mandela Comptech Senior Secondary,1,13,71,58,81.7,11,53,46,86.8,1,53,49,92.5
EASTERN CAPE,ALFRED NZO EAST,200501311,4243035,Zamokuhle Special School, 99,0,11,9,81.8,0,11,9,81.8,1,8,8,100.0
EASTERN CAPE,ALFRED NZO WEST,200501564,4252085,Advent Comprehensive School, 99,0,39,34,87.2,0,43,40,93.0,0,25,20,80.0
EASTERN CAPE,ALFRED NZO WEST,200500005,4251001,Arthur Ngunga Senior Secondary School,2,28,130,63,48.5,3,93,75,80.6,0,95,77,81.1
EASTERN CAPE,ALFRED NZO WEST,200500006,4251002,Azariel Senior Secondary School,1,12,76,43,56.6,10,107,78,72.9,8,101,82,81.2
EASTERN CAPE,ALFRED NZO WEST,200501571,4252003,Bergview College, 99,0,44,40,90.9,0,54,49,90.7,0,43,35,81.4
EASTERN CAPE,ALFRED NZO WEST,200500094,4251004,Bonxa High School,2,5,184,153,83.2,5,187,162,86.6,6,205,182,88.8
EASTERN CAPE,ALFRED NZO WEST,200500060,4251005,Brooksnek Senior Secondary School,2,8,38,26,68.4,5,23,22,95.7,2,25,21,84.0
EASTERN CAPE,ALFRED NZO WEST,200501574,4251006,Cedarville Public School,2,33,73,41,56.2,23,71,51,71.8,15,47,43,91.5
EASTERN CAPE,ALFRED NZO WEST,200500098,4251007,Colana Senior Secondary School,1,28,90,50,55.6,10,72,49,68.1,7,76,34,44.7
EASTERN CAPE,ALFRED NZO WEST,200500113,4251008,Daluhlanga Senior Secondary School,2,1,113,79,69.9,1,91,74,81.3,0,97,80,82.5
EASTERN CAPE,ALFRED NZO WEST,200500119,4251009,Dangwana Senior Secondary School,2,6,193,138,71.5,7,166,138,83.1,7,212,159,75.0
EASTERN CAPE,ALFRED NZO WEST,200500144,4251010,Dumezweni Senior Secondary School,1,11,224,161,71.9,5,259,167,64.5,20,139,119,85.6
EASTERN CAPE,ALFRED NZO WEST,200500151,4251011,Dumsi Senior Secondary School,1,14,154,86,55.8,15,126,99,78.6,40,159,90,56.6
EASTERN CAPE,ALFRED NZO WEST,200501589,4252012,Focused High School, 99,0,46,42,91.3,1,40,38,95.0,0,31,31,100.0
EASTERN CAPE,ALFRED NZO WEST,200500302,4251014,Hlangwini Senior Secondary School,1,8,36,17,47.2,1,44,24,54.5,4,42,34,81.0
EASTERN CAPE,ALFRED NZO WEST,200500313,4251015,Huku Senior Secondary School,1,0,92,83,90.2,0,129,101,78.3,0,119,99,83.2
EASTERN CAPE,ALFRED NZO WEST,200500058,4252016,Ikhwezi Lomso Educare Centre, 99,0,10,10,100.0,0,10,10,100.0,0,9,9,100.0
EASTERN CAPE,ALFRED NZO WEST,200500338,4251017,Jojo Senior Secondary School,2,0,283,225,79.5,3,263,235,89.4,0,266,243,91.4
EASTERN CAPE,ALFRED NZO WEST,200501580,4251018,Khanya-Naledi Combined School,2,30,126,79,62.7,49,90,70,77.8,29,116,93,80.2
