province,district_name,emis_number,centre_number,centre_name,quantile,_2021_progressed(%),_2021_total_wrote,_2021_total_archived,_2021_achived,_2022_progressed,_2022_total_wrote,_2022_total_archived,_2022_achived,_2023_progressed,_2023_total_wrote,_2023total_archeive,_2023_achieved(%)
                  200100325   4351018   Humansdorp Senior Secondary School       3          24            305           193               63,3          39            265             211               79,6          17            315             236               74,9
                  200100375   4351019   Ikamvalesizwe Combined School            3           5             43            33               76,7           5             39              33               84,6           0             54              47               87,0
SARAH BAARTMAN




                  200100298   4352001   Jbay Academy High School                99           0             28            26               92,9           0             37              25               67,6           0             30              26               86,7
                                        Jeffreys Bay Comprehensive
                  200100367 4351020                                              4            6           141             87             61,7           16            117               83             70,9           36            164             120              73,2
                                        Secondary
                  200100359   4351021   Johnson Nqonqoza Senior Secondary        3          6             77              60             77,9           0             78              60               76,9           9             72                59             81,9
                  200100382   4351023   Khutliso Daniels Secondary School        3          4             49              41             83,7           10            36              32               88,9           6             84                81             96,4
                  200100390   4351024   Kirkwood High School                     4          0             29              29             100,0           0            28              28               100,0          0             41                41             100,0
                  200100398   4351025   Klipplaat Senior Secondary School        3          0             17              16              94,1           2            16               7                43,8          5              11                6              54,5
                  200100419   4351026   Kuyasa Combined School                   3          0             62              59              95,2           0            59              59               100,0          0             87                83              95,4
                  200100473   4351027   Lungiso Public High School               3          20            100             72              72,0           0            116             82                70,7          5             128               85              66,4
                  200100493   4351028   Mary Water High School                   3          10            119             93              78,2           3            160             130               81,3          15            116               68              58,6
                                        Moses Madiba Senior Secondary
                  200100529 4351029                                               3           0             50             31            62,0             0             64               47            73,4           10              71               51            71,8
                                        School
                  200100553   4351030   Nathaniel Nyaluza Secondary School       3          14            66            42               63,6           9              52             39               75,0             3           62              50               80,6
                  200100580   4351031   Nombulelo Secondary School               3           8            85            73               85,9           11            182             159              87,4             5           158             115              72,8
                  200100582   4351032   Nompucuko Combined School                3           0            30            18               60,0            3             21              18              85,7             5            41              36              87,8
                  200100583   4351033   Nomzamo Secondary School                 3          15            66            41               62,1            1            120              77              64,2             0           106              71              67,0
                  200100592   4351034   Nqweba Senior Secondary School           3          30            88            46               52,3           34            105              87              82,9             7            70              62              88,6
                  200100597   4351035   Ntsika Secondary School                  3           1            136           108              79,4            3            145             120              82,8             0           165             128              77,6
                  200100917   4351036   Patensie Secondary School                3           8             49            21              42,9            0             32              22              68,8             6            44              26              59,1
                  200100937   4351037   Paul Sauer High School                   4           0             37            37              100,0           0             32              31              96,9             0            38              37              97,4
                  200100621   4351038   Pearston Senior Secondary|School         3           3             22             8               36,4           9             38              15              39,5             6            22              10              45,5
                  200100632   4351039   Port Alfred High School                  5           0            61            58               95,1           0              50             47               94,0             1           69              68               98,6
                  200100640   4351040   Qhayiyalethu F E T                       3          7             52            27               51,9           0             104             37               35,6             0           78              32               41,0
                  200100674   4351042   Samkelwe Senior Secondary School         3          0             45            33               73,3           3              57             42               73,7             4           70              49               70,0
                  200100680   4351043   Sandisulwazi High School                 3          1             44            19               43,2           0              45             10               22,2             0           34              20               58,8



                 200100722   4351045   Spandau Senior Secondary School          3          14            141             87             61,7           34            168             103              61,3           28            151               80             53,0
                 200100731   4351047   St Colmcille Senior Secondary School     3           9             60             46             76,7            0            109             70               64,2           14            102               68             66,7
SARAH BAARTMAN




                 200100767   4351048   T Em Mrwetyana Senior Secondary          3           0             26             19             73,1           0             43              32               74,4            6            57                43             75,4
                 200100806   4351049   Ukhanyo Secondary School                 3           9             69             38             55,1            1             39              35              89,7            8             46               42             91,3
                 200100807   4351050   Union High School                        5           1             56             56             100,0           0             59              57              96,6            0             61               60             98,4
                 200100814   4351051   Velile Senior Secondary School           3          23             75             38              50,7           2             56              40              71,4           11             54               40             74,1
                 200100820   4351052   Victoria Girls High School               5           0             82             82             100,0           0             77              77              100,0           0             82               82             100,0
                 200100858   4351053   Willowmore Senior Secondary School       3          15            104             55              52,9           5             72              51               70,8          12            112               83              74,1






                443611240   3201001   AFRIKAANSE HSKOOL SASOLBURG     4           4            119             106              89,1           3             144             130              90,3            2            127             116              91,3
                443011135   3201002   BARNARD MOLOKOANE SS            1          24            121             114              94,2           11            117             105               89,7          25            106              86              81,1
                442506237   3202002   BODIBENG SS                     2          19             97              88              90,7           27            159             132               83,0          44             81              64              79,0
                444611126   3202004   BOIPHIHLELO SS                  1           0            104              98              94,2            2            109             109              100,0           5             97              92               94,8
                443011180   3201004   BOITLAMO SS                     1           3            100              77              77,0           23             79              66               83,5          11             93              64               68,8
                445802162   3201060   BOKAMOSO SI/S                   3           0              7               7              100,0           0              3               3              100,0           0              5               5              100,0
                444510328   3201005   BONGANE-LEBOHANG SS             1          14             66              56               84,8          15             59              49               83,1          16             49              41               83,7
                442506332   3202005   BRENTPARK CS                    3           9             87              51               58,6           4             69              59               85,5          16             71              59               83,1
                443611168   3201006   CEDAR SS                        3          10            101              89               88,1          17            156             150               96,2           5             85              85              100,0
                442506199   3202009   DR REGINALD CINGO CSS           3          24            138             133               96,4          20            206             198               96,1          15            185             174               94,1
                441610084   3201007   FALESIZWE SS                    1          20            200             149               74,5          30            219             175               79,9          20            126             101               80,2
                441811277   3202011   HEILBRON CS                     5           0             24              24              100,0           0             26              26              100,0           0             29              29              100,0
                443611245   3201010   HTS SASOLBURG                   5           9             59              47               79,7           5             69              51               73,9           1             90              78               86,7
                443611134   3201011   IKETSETSENG CSS                 3           4            357             319               89,4          26            261             251               96,2          12            258             247               95,7
                442506339   3202013   JSM SETILOANE SS                3           0             40              38               95,0           0             33              30               90,9           7             39              37               94,9
                443611280   3201051   KAHOBOTJHA-SAKUBUSHA SS         3           5            150             140               93,3           0            180             163               90,6          23            114             107               93,9
                442506078   3202014   KANANELO SS                     3          17            177             160               90,4           9            230             212               92,2           5            181             159               87,8
                445802172   3201052   KATLEHO-MPUMELELO               3           0            128             123               96,1           0             83              81               97,6           5             82              73               89,0
                444306340   3202015   KGABARENG TS                    1          11             90              80               88,9          11            112              92               82,1          30             80              77               96,3
                444306234   3202016   KGOLAGANO SS                    1          13            183             162               88,5          17            208             178               85,6          14            146             134               91,8
                442506348   3202070   KROONSTAD AKADEMIE CI/S         4           0             14              12               85,7           1             18              15               83,3           0             24              19               79,2
                442411129   3202021   KWAKWATSI SS                    2           0            110              88               80,0           3             73              68               93,2           5             35              34               97,1
                443611141   3201012   LE NOTSI SS                     2          13             39              34               87,2          19             71              65               91,5          34             83              72               86,7
                442510187   3202025   MATLWANGTLWANG SS               2          36            109              80               73,4          31             91              73               80,2          30             78              68              87,2
                441811178   3201015   METSIMATLE SS                   2           0             54              44              81,5            7             33              29               87,9           4             31              26              83,9
                441610200   3201016   MFUNDO THUTO SS                 2          25            140             114              81,4           52            167             157               94,0          32            106              86              81,1
Fezile Dabi




                442506203   3202026   MOTSWELA SS                     3          11            110              94              85,5           15             95              88               92,6          39            129             112              86,8
                440506229   3202028   NAMPO ASS                       1           1             33              28              84,8            1             59              59              100,0           0             43              38               88,4
                442506241   3202029   NGWATHE SS                      2           0             64              63               98,4           8             40              40              100,0           5             68              67               98,5
                443611068   3201018   NKGOPOLENG SS                   3          32            206             146               70,9           0            192             180               93,8          20            121             113               93,4
                443611181   3201019   NOMSA SS                        2          24            137              83               60,6          48            134              68               50,7          17             79              64               81,0
                443011241   3201020   PARYS SKOOL SS                  4           0            100              94               94,0           1             97              90               92,8           4            109             100               91,7
                443611162   3201021   PELE-YA-PELE SS                 3           4             74              67               90,5           3             68              63               92,6           5             78              67               85,9
                443011028   3201022   PHEHELLANG SS                   3           7            136             121               89,0           6            219             218               99,5          13            206             183               88,8
                442506216   3202032   PHEPHETSO SS                    3          10            140             131               93,6          17            179             170               95,0           7            168             159               94,6
                441811229   3202034   PHIRITONA SS                    3           0            237             216               91,1           0            227             210               92,5          13            194             159               82,0
                441610173   3201023   QALABOTJHA SS                   2           6            132             113               85,6          18            136             119               87,5          11            160             136               85,0
                443611272   3202036   REBATLA THUTO SS                2           8             55              53               96,4          10             90              89               98,9          16             70              68               97,1
                441610193   3201024   REFENG THABO SS                 2           9             73              63               86,3          20            103              92               89,3           9             52              48               92,3
                444306214   3202037   REHAUHETSWE SS                  1           3             57              46               80,7           9             87              68               78,2           3             70              59               84,3
                441610088   3201026   RETSHEDISITSWE SS               2           6            135             111               82,2          12            120             103               85,8          18            120              91               75,8
                444306320   3202038   SALOMON SENEKAL CS              5           0             15              15              100,0           0             29              28               96,6           0             24              24              100,0
                444611171   3202039   SAMUEL SEBEGO PAKI SS           1           2             89              83               93,3           3             78              78              100,0           2             74              71               95,9
                441811261   3202040   SANDERSVILLE CS                 3           0             26              19               73,1           0             23              21               91,3           1             28              26               92,9
                442411249   3202041   SAREL CILLIERS CS               3           0             26              23               88,5           0             29              25               86,2           3             34              31               91,2
                443611242   3201028   SASOLBURG SS                    5           0            169             164               97,0           0            177             173               97,7           0            205             199               97,1
                443011262   3201065   SCHONKENVILLE I/S               2           0             16               9               56,3           0             20              20              100,0           1             42              38               90,5
                441811147   3202042   SEDIBA-THUTO SS                 1          55            176             163               92,6           4            137             134               97,8          30            163             155               95,1
                442710262   3202043   STEYNSRUS CS                    4           2             31              24               77,4           0             17              16               94,1           2             20              18              90,0
                444306138   3202045   THABANG SS                      1           0             69              55              79,7           33             81              53               65,4          30            101              79               78,2
                442506169   3202046   THAKAMESO CSS                   2          22             93              88              94,6            9            114              91               79,8          13            116             104               89,7
                445802189   3201501   THUTO KE LESEDI T/S             3                                                                                                                                       0            129             127               98,4
                445802267   3202075   TRIO S/S                        5                                                                          0           188             185               98,4           0            196             196              100,0
                441610358   3201029   TSEBO-ULWAZI SS                 2            0             39              33             84,6             3            25              25              100,0           7             39              29               74,4















                441610264   3201031   TWEELING CS                 2             0           30              27               90,0           0             28              28               100,0           0             35              35              100,0
                443611170   3201032   VAAL CHRISTIAN CI/S         99            0           57              56               98,2            0             63              58               92,1           0             51              47               92,2
                443611244   3201033   VAALPARK ARTICON             5            2           108             101              93,5            4            115             106               92,2           0             91              86               94,5
Fezile Dabi




                441610265   3201034   VILLIERS CS                  4            0            10              10              100,0           0              7               5               71,4           0             10               8               80,0
                443011203   3201035   WEIVELD ASS                  1            1            72              65               90,3           3             84              69               82,1           5             88              60               68,2
                441610266   3201036   WILGERIVIER CS               5            0            38              38              100,0           1             43              43              100,0           0             43              43              100,0
                443011173   3201037   YAKHISISWE SS                3            0           120             113               94,2           3             99              98               99,0          17             72              69               95,8
                442506335   3202048   ZENITH CI/S                 99            0            36              35               97,2           0             50              48               96,0           0             46              43               93,5
                445802163   3182083   ADELAIDE TAMBO SS           3                                                                         0             14              13                92,9          0             80              72               90,0
                440704214   3182001   AKADEMIA SS                 2           21            153             138              90,2           9             111             97                87,4          14            174             160              92,0
                440404129   3181001   ARAMELA CS                  2            7             40              36              90,0           10             48             47                97,9           4             43              37              86,0
                441912034   3182002   BAHALE SS                   3            2             64              56              87,5           11            128             102               79,7           8            129             104              80,6
                440404216   3181002   BOSHOF CS                   3            0             50              49              98,0            0             65              54               83,1           0             43              36              83,7
                440506317   3181003   BOTHAVILLE SS               5            0             57              56              98,2            0             40              40              100,0           0             45              44               97,8
                440506235   3181004   BOVAAL ACS                   1           0             13              13              100,0           0             11              11              100,0           0              8               8              100,0
                440808296   3181005   BULTFONTEIN CS               5           0             24              24              100,0           0             22              22              100,0           0             26              26              100,0
                444008294   3182006   CONCORDIA SS                 2          26             85              55               64,7           8             94              72               76,6          16             90              66               73,3
                440506232   3181006   DIPHETOHO SS                 1          11            115              95               82,6          10            110              95               86,4          10            117              89               76,1
                444712030   3182086   DUNAMIS CHRISTIAN CI/S      99           0             22              19               86,4           0             25              24               96,0           0             18              17               94,4
                444712129   3181063   EDMUND RICE CI/S            99           0             23              23              100,0           0             25              24               96,0           0             23              22               95,7
                444712056   3182008   ED-U-COLLEGE WELKOM CI/S    99           0              8               4               50,0           0             13               4               30,8           0              6               5               83,3
                442908251   3181008   ELDORET SS                   3           4             75              56               74,7           4             83              63               75,9           6             65              50               76,9
                444712076   3182010   GOUDVELD SS                  5           0            130             125               96,2           1            133             131               98,5           0            132             130               98,5
                440808282   3181009   HANOVER CFS                  1           7             30              22               73,3           1             24              16               66,7           4             30              18              60,0
                444412077   3182011   HARMONY SS                  5            4            131             119               90,8           2             94              86               91,5           7             93              80              86,0
                441912078   3182013   HENNENMAN SS                5            0             33              33              100,0           0             45              45              100,0           0             48              47               97,9
                444412079   3182014   HENTIE CILLIERS HS           4           0            103              94               91,3           1            121             114               94,2           1            104              98               94,2
                442008297   3181010   HOOPSTAD CS                  5           0             24              24              100,0           0             22              22              100,0           0             28              28              100,0
                444712082   3182015   HTS WELKOM                   4           4             92              59               64,1          12             82              74               90,2          10             94              78               83,0
                444908323   3181011   IPHATELENG SS                1           9             80              77               96,3           4             56              52               92,9          11             67              57               85,1
Lejweleputswa




                445008310   3182016   IPOPENG SS                   2           7             95              81               85,3          14             78              71               91,0          21             95              75               78,9
                444908152   3181012   ITHABELENG SS                1           6            122             103               84,4          21            103              82               79,6          15            113             104               92,0
                444908008   3181013   ITOKISETSENG CFS             1           1             13              12               92,3           0             14              13               92,9           0             12               9               75,0
                442908321   3181015   JC MOTUMI SS                 2           3            120              96               80,0          14             54              48               88,9          24             72              56               77,8
                440704040   3181016   KAGISANO CS                  2           8             38              28               73,7           3             26              18               69,2           2             33              32               97,0
                440404264   3181045   KGHOLOLOSEGO SS              1          19             48              31               64,6           9             23              14               60,9          13             22              18               81,8
                441912110   3182017   KHELENG SS                   3          14            138             125               90,6          24            137             120               87,6          32            131             121               92,4
                442908307   3181019   KUTLOANONG SS                1          13            132              95               72,0           0            129             123               95,3           0            116             113               97,4
                442908319   3181020   LA WESI SS                   3           5             51              51              100,0           8             63              61               96,8           4             64              62               96,9
                444712002   3182018   LEBOGANG SS                  3           7            131             118               90,1          14            137             107               78,1           7             93              67               72,0
                444712127   3182067   LEKGARIETSE SS               3          26            115             106               92,2          21            109             103               94,5          45             84              76               90,5
                444712029   3182019   LENAKENG TS                  2          38             81              48               59,3          27             83              67               80,7           6             58              53               91,4
                444712040   3182020   LEPHOLA CSS                  3          34            245             195               79,6          11            259             204               78,8          37            212             164               77,4
                444712044   3182021   LESEDING TS                  3          42            157             117               74,5          18            188             162               86,2          18            185             149               80,5
                444712114   3182023   LETSETE SS                   2           2            173             163               94,2          12            168             163               97,0           6            128             122               95,3
                440506227   3181022   MAMELLANG-THUTO SS           1           8            139             124               89,2          33            252             208               82,5          23            235             178               75,7
                444412025   3182024   MAMELLO SS                   2           2            234             222               94,9           3            220             186               84,5          11            231             190               82,3
                444412119   3182025   MAREMATLOU SS                1           8            166             149               89,8          13            171             152               88,9          43            171             153               89,5
                444206211   3182026   MATSERIPE SS                 1          18             84              65               77,4          32             69              55               79,7           6             71              66              93,0
                444412113   3182028   MELODING SS                 2            0            115             100               87,0           5            115             106               92,2          18             98              77              78,6
                444908243   3181026   MONYAKENG SS                1           24            144             121               84,0          16            178             158               88,8          31            100              87              87,0
                440506102   3181028   MOPHATE SS                  2           19            193             149               77,2          32            230             135               58,7          11            181             119              65,7
                442908234   3181029   MOSALA SS                   3           24            108              90               83,3           0            122             113               92,6           0            131             111              84,7
                445008150   3182030   NALEDI-YA-BOTJABELA SS      1           45             83              51               61,4          35             87              48               55,2           6             42              35              83,3



                444712052   3182031   NANABOLELA SS                    2          13            130             129              99,2           7             122             121              99,2           6             140             140              100,0
                440506198   3181031   OZIEL SELELE CSS                 1          33            134             102              76,1           4             157             144              91,7           2              75              65               86,7
                442908055   3181033   PHEHELLO SS                      1          17            100              87              87,0           26            250             174              69,6           17            108              86               79,6
                440808312   3181027   RAINBOW SS                       1          21            207             192              92,8           31            170             161              94,7           17            155             150               96,8
                442908180   3181035   REARABETSWE SS                   3           7             93              83              89,2           28            155             146              94,2           13             88              76               86,4
                444412047   3182035   REATLEHILE SS                    3           4             77              70              90,9            8            118             112              94,9            4             88              87               98,9
                440704141   3182037   REFIHLETSE CS                    2          10             35              25              71,4            9             50              31              62,0            1             26              23               88,5
                442008316   3181037   RELEKILE SS                      1           7            133             103              77,4           21            124             110              88,7           18            156             128               82,1
                440808153   3181038   REPHOLOSITSWE SS                 1          46            127              64              50,4           75            193             116              60,1           16            167             108               64,7
                                      RHEEDER PARK COMBINED
                444712115 3182075                                      2            0             62              40             64,5             4             84              73             86,9             0             80              63             78,8
                                      SCHOOL
                444712080   3182039   RIEBEECKSTAD SS                  4            5           142             122              85,9            2            150             131              87,3           3             135             118              87,4
                445802184   3182084   SAINT ANNE’S THS                99                                                                         0             22              17              77,3           0              48              40              83,3
                444908298   3181039   SANDVELD CS                      5          0             15              15               100,0           0             21              21              100,0          0              16              16              100,0
Lejweleputswa




                440404259   3181040   SENZILE CS                       1          3             83              79                95,2           6             90              80               88,9          7             122             102               83,6
                442908239   3181041   SEQHOBONG SS                     1          0             73              68                93,2           3             78              72               92,3          2              75              62               82,7
                440704219   3182045   STAATSPRES SWART CS              5          0             24              24               100,0           0             29              28               96,6          0              30              29               96,7
                444008151   3182046   TAIWE SS                         2          28            159             146               91,8          47            197             171               86,8          57            178             137               77,0
                444712033   3182047   TETO SS                          3           5            203             197               97,0           8            307             272               88,6           8            244             235               96,3
                444008299   3182048   THEUNISSEN CS                    5           0             11              11              100,0           1             22              21               95,5           0             20              18               90,0
                444712020   3182049   THOTAGAUTA SS                    3           9            131             115               87,8          13            112             103               92,0          30             72              66               91,7
                442008225   3181043   TIKWANE CSS                      1           7             71              60               84,5          30            133              98               73,7           9             78              59               75,6
                444712081   3182054   UNITAS CSS                       4          12            177             154               87,0          17            246             211               85,8          13            185             142               76,8
                444206334   3182070   VENTERSBURG I/S                  3           7             51              39               76,5           5            119             104               87,4          15             72              61               84,7
                445802186   3182085   VIRGINIA SECONDARY               4                                                                         0             73              66               90,4           0             47              40               85,1
                444712083   3182058   WELKOM HIGH SS                   5          11            258             231               89,5          5             230             211              91,7           1             219             185              84,5
                444712107   3182059   WELKOM SS                        3           7             98              90               91,8          0              96              95              99,0           2              87              80              92,0
                444712075   3182060   WELKOM-GIMNASIUM SS              5           1            163             157               96,3          0             173             168              97,1           4             191             177              92,7
                442908295   3181046   WESSEL MAREE SS                  5           0             70              64               91,4          0              70              59              84,3           4              78              75              96,2
                445008300   3182061   WINBURG CS                       3           2             57              47               82,5          10             55              41              74,5           4              42              37              88,1
                440304273   3171095   ACADEMY OF EXCELLENCE CI/S      99          0              34             34               100,0           0             37              37              100,0          0              76              75              98,7
                                      ACCELERATED CHRISTIAN
                440304267 3171001                                     99            0             45              40             88,9             0             41              37             90,2             0             37              30             81,1
